job_id,title,description,location,experience,skills
12,Cloud Engineer,"HyperScale Tech is hiring a Cloud Engineer. You will work on distributed systems, improving reliability, performance, and developer velocity. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial.",Mumbai,4,
13,Machine Learning Engineer,"SentinelOps is hiring a Machine Learning Engineer. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement.",Chennai,5,
14,QA Automation Engineer,"We are looking for a QA Automation Engineer. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement.",Mumbai,5,
15,SRE Engineer,"QuantisAI is hiring a SRE Engineer. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity.",Chennai,6,
16,DevOps Engineer,"We are looking for a DevOps Engineer. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial.",Pune,8,
17,Fullstack Engineer,"HyperScale Tech is hiring a Fullstack Engineer. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial.",Gurgaon,12,
18,Machine Learning Engineer,"AstraCompute is hiring a Machine Learning Engineer. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity.",Gurgaon,12,
19,Cloud Engineer,"QuantisAI is hiring a Cloud Engineer. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions.",Remote,9,
20,Machine Learning Engineer,"AstraCompute is hiring a Machine Learning Engineer. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity.",Remote,5,
21,DevOps Engineer,"We are looking for a DevOps Engineer. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity.",Remote,9,
22,Mobile Developer (iOS),"We are looking for a Mobile Developer (iOS). Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement.",Gurgaon,10,
23,SRE Engineer,"SentinelOps is hiring a SRE Engineer. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions.",Hyderabad,1,
24,Data Scientist,"QuantisAI is hiring a Data Scientist. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments.",Mumbai,11,
